Date / Time (UTC),Battery (v),NAVD88 Water Level (m)
"Jul 11, 2012  16:18","10.89","-0.529"
"Jul 11, 2012  16:12","10.93","-0.529"
"Jul 11, 2012  16:06","-","-"
"Jul 11, 2012  16:00","10.91","-0.525"
"Jul 11, 2012  15:54","10.89","-0.522"
"Jul 11, 2012  15:48","10.87","-0.516"
"Jul 11, 2012  15:42","10.87","-0.514"
"Jul 11, 2012  15:36","10.87","-0.511"
"Jul 11, 2012  15:30","10.89","-0.506"
"Jul 11, 2012  15:24","10.93","-0.504"
"Jul 11, 2012  15:18","11.04","-0.496"
"Jul 11, 2012  15:12","10.90","-0.492"
"Jul 11, 2012  15:06","-","-"
"Jul 11, 2012  15:00","10.94","-0.489"
