total_pages:3560	date_start:2009-01-13T17:10:00	date_end:2009-01-14T15:41:00	min_page_count:5	min_ip_count:0	min_ref_count:0

#######################################################
412	/error_pages/error_403.html
159	167.7.12.164	3(NXDOMAIN)
54	67.201.112.12	3(NXDOMAIN)
44	128.160.63.108	columbo.nrlssc.navy.mil.
42	98.24.140.218	cpe-098-024-140-218.carolina.res.rr.com.
27	147.32.131.50	geo3.fsv.cvut.cz.
26	216.93.164.39	FishingMap.
20	128.160.63.106	sherlock.nrlssc.navy.mil.
18	66.153.234.211	211.234-net.sccoast.net.
3	80.72.135.77	
3	193.146.131.132	
3	204.116.169.211	
3	63.97.115.10	
3	67.77.216.204	
2	200.252.111.1	
2	83.202.154.232	
1	200.23.91.241	
1	76.70.70.84	
1	193.144.251.31	
#######################################################
271	/carocoops_website/buoy_query.php?obs=public&platform_id=buoy7&observation_id=wind&time_interval=1+day&submit_type=DownloadData
271	38.101.125.147	ps6.weatherflow.com.
#######################################################
271	/carocoops_website/buoy_query.php?obs=public&platform_id=WLS1&observation_id=wind&time_interval=1+day&submit_type=DownloadData
271	38.101.125.147	ps6.weatherflow.com.
#######################################################
271	/carocoops_website/buoy_query.php?obs=public&platform_id=buoy6&observation_id=wind&time_interval=1+day&submit_type=DownloadData
271	38.101.125.147	ps6.weatherflow.com.
#######################################################
271	/carocoops_website/buoy_query.php?obs=public&platform_id=WLS3&observation_id=wind&time_interval=1+day&submit_type=DownloadData
271	38.101.125.147	ps6.weatherflow.com.
#######################################################
271	/carocoops_website/buoy_query.php?obs=public&platform_id=WLS2&observation_id=wind&time_interval=1+day&submit_type=DownloadData
271	38.101.125.147	ps6.weatherflow.com.
#######################################################
227	phpbb2
10	65.39.172.204	xmlrpc.who2beton.com.
10	24.112.131.172	dynamic-acs-24-112-131-172.zoominternet.net.
6	61.91.127.43	61-91-127-43.static.asianet.co.th.
6	70.55.43.31	bas2-barrie18-1178020639.dsl.bell.ca.
6	94.76.206.19	94-76-206-19.static.as29550.net.
6	92.113.42.151	151-42-113-92.pool.ukrtel.net.
6	69.65.22.66	lublin.scaledhosting.net.
5	98.141.189.153	dynamic-98-141-189-153.dsl.cavtel.net.
5	67.225.77.170	
5	76.192.80.126	
5	62.90.102.148	62-90-102-148.barak.net.il.
5	67.68.118.221	
5	74.12.212.53	
4	194.8.75.206	3(NXDOMAIN)
4	173.28.204.221	
4	99.224.89.67	
4	87.118.122.58	
4	76.71.128.74	
4	24.193.105.138	
4	69.157.24.183	
4	76.66.62.90	
4	212.150.164.25	3(NXDOMAIN)
4	70.27.9.136	
4	202.156.12.232	
3	74.86.231.135	
3	74.15.244.115	
3	69.62.206.235	
3	76.69.67.155	
3	202.156.12.250	
3	69.245.191.203	
3	76.189.88.106	
3	77.125.118.71	
3	207.68.122.157	
3	96.229.160.146	
2	219.79.29.168	
2	78.159.112.179	
2	71.120.79.9	
2	99.190.81.92	
2	89.149.241.189	89-149-241-189.internetserviceteam.com.
2	99.49.28.209	
2	71.96.146.136	
2	76.232.41.67	
2	87.118.120.220	
2	88.119.247.27	
2	64.229.40.42	
2	209.139.208.194	
2	92.113.86.30	
2	91.121.51.106	
2	134.184.49.38	
2	93.80.121.130	
2	201.6.3.241	
2	89.149.217.184	
2	74.12.51.60	
2	207.30.65.216	
1	202.156.12.254	
1	70.24.9.105	
1	70.51.86.92	
1	88.242.187.246	
1	71.116.4.243	
1	65.93.104.185	
1	212.235.92.142	
1	72.139.32.13	
1	74.177.199.63	
1	202.156.12.228	
1	69.157.159.46	
1	71.107.207.192	
1	78.106.238.39	
1	72.47.156.246	
1	213.155.7.186	
1	64.56.66.112	
1	84.19.176.191	
1	85.108.57.56	
1	124.82.97.60	
1	218.186.14.94	
1	70.238.63.159	
1	202.156.12.246	
1	212.95.54.175	
1	216.229.5.227	
1	217.132.173.108	
1	71.96.140.48	
1	76.65.111.111	
1	78.42.16.214	
1	74.12.41.178	
1	69.66.145.203	
1	77.126.255.154	
1	71.201.72.201	
1	202.156.12.233	
#######################################################
212	twiki
21	66.197.195.149	server1.gr8hosts.com.
19	83.233.30.101	3(NXDOMAIN)
18	212.150.164.25	3(NXDOMAIN)
16	208.111.154.248	3(NXDOMAIN)
15	89.149.253.102	89-149-253-102.internetserviceteam.com.
14	208.111.154.249	3(NXDOMAIN)
13	72.14.199.116	3(NXDOMAIN)
11	219.111.58.56	56.58.111.219.dy.bbexcite.jp.
11	82.206.129.160	reached
9	85.222.109.178	178-goc-30.acn.waw.pl.
8	128.128.93.206	mvcooffice.whoi.edu.
6	213.156.49.134	213-156-49-134.fastres.net.
6	69.245.75.57	c-69-245-75-57.hsd1.mi.comcast.net.
4	74.243.249.172	
4	218.248.33.12	
3	161.5.131.43	
2	75.101.159.204	
2	174.145.12.184	
2	208.111.154.16	crawl2.nat.svl.searchme.com.
2	92.48.124.114	
2	208.111.154.35	
2	83.103.39.121	
2	195.235.92.25	
2	199.67.16.60	
2	159.148.82.3	
1	78.137.163.133	
1	65.121.181.162	
1	70.173.37.71	
1	200.23.91.241	
1	66.199.232.18	
1	67.142.130.34	
1	66.235.124.36	
1	66.235.124.55	
1	75.52.124.149	
1	87.248.169.14	
1	74.125.74.40	
1	189.52.226.128	
1	74.239.32.180	
1	198.151.13.10	
1	60.50.187.170	
1	93.80.107.243	
#######################################################
153	/obskml/feeds/pachube/carocoops.cap2.buoy.xml
128	209.40.205.190	3(NXDOMAIN)
25	209.40.196.141	3(NXDOMAIN)
#######################################################
136	/obskml/feeds/scnms/scnms_latest_obskml.zip
136	152.20.240.19	rcoos.das.uncw.edu.
#######################################################
75	/seacoos_data/html_tables/html_tables/
75	74.220.203.50	host50.hostmonster.com.
#######################################################
65	/waves/folly/index.php
57	69.89.21.99	box99.bluehost.com.
7	69.89.31.106	box306.bluehost.com.
1	69.242.196.170	
#######################################################
47	/
7	193.138.173.7	3(NXDOMAIN)
4	87.102.46.19	
2	128.117.224.34	
2	208.111.154.16	crawl2.nat.svl.searchme.com.
2	128.117.224.94	
2	92.48.193.55	3(NXDOMAIN)
2	218.85.139.170	
2	203.22.30.1	
1	78.137.163.133	
1	206.74.146.90	
1	83.233.30.101	3(NXDOMAIN)
1	208.80.194.50	
1	208.80.194.52	
1	69.242.196.170	
1	68.58.226.169	
